2025-11-02T11:30:52-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143052900_11b011c5.ndjson
2025-11-02T11:30:52-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143052947_22b041a3.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143052996_693019f2.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053044_10fa9ddc.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053095_1c880bdf.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053144_21969a75.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053191_c8c03acd.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053240_181fb89b.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053288_9e18701a.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053336_0610397b.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053383_0fd3f148.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053431_477e058f.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053479_0a58e981.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053528_22b3b930.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053576_78d75639.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053624_b2841e7e.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053672_80b0a8bd.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053720_07df61be.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053768_876b8748.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053816_80ceecc0.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053863_cc28db69.ndjson
2025-11-02T11:30:53-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053912_328cb48c.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143053959_691c82b3.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054008_2e29b9bf.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054055_b38b9d3e.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054103_c6d3ad1d.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054152_320d2e90.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054200_9f246de3.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054248_adb782f4.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054296_15c1a989.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054344_240adafc.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054392_c7059482.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054440_618146bc.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054488_50aa2b1f.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054535_e6e664a4.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054584_1c149fb3.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054632_61a059e2.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054680_a22b9f71.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054728_cc4b1007.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054776_e0019846.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054826_a866003c.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054872_0c842398.ndjson
2025-11-02T11:30:54-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054920_b6918ca7.ndjson
2025-11-02T11:30:55-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143054968_6795f40a.ndjson
2025-11-02T11:30:55-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143055016_a8097c14.ndjson
2025-11-02T11:30:55-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143055064_b52e1f2e.ndjson
2025-11-02T11:30:55-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143055113_77565b56.ndjson
